w,w_part_of_speech,w_romaji,w_meaning,s_kanji,s_hiragana,s_romaji,s_meaning
笑い声,waraigoe,Noun,laughter,部屋 の 中 から 笑い声 が 聞こえた 。,へや の なか から わらいごえ が きこえた。,heya no naka kara waraigoe ga kikoeta.,I heard laughter coming from the room.
立ち直る,tachinaoru,Verb,"get over, recover",彼女 は 失敗 から 立ち直った よ 。,かのじょ は しっぱい から たちなおった よ。,kanojo ha shippai kara tachinaotta yo.,She's gotten over a mistake.
足音,ashioto,Noun,footstep (sound),廊下 から 大きな 足音 が 聞こえた。,ろうか から おおきな あしおと が きこえた。,rouka kara ookina ashioto ga kikoeta.,I heard loud footsteps from the hallway.
第一,daiichi,Noun,"number one, first",私 に は 仕事 が 第一 です。,わたし に は しごと が だいいち です。,watashi ni ha shigoto ga daiichi desu.,Work is my first priority.
離陸,ririku,Verbal Noun,takeoff,まもなく 飛行機 が 離陸 します 。,まもなく ひこうき が りりく します。,mamonaku hikouki ga ririku shimasu.,The airplane will be taking off soon.
追い抜く,oinuku,Verb,"pass, overtake",リレー で 彼 は 二人 追い抜いた ね 。,りれー で かれ は ふたり おいぬいた ね。,rire- de kare ha futari oinuita ne.,He overtook two people in the relay.
にこやか,nikoyaka,Adjectival Noun,"smiling, beaming (face)",彼ら は にこやか に 挨拶 を 交わした けど ね 。,かれら は にこやか に あいさつ を かわした けど ね。,karera ha nikoyaka ni aisatsu wo kawashita kedo ne.,"They greeted each other with smiles, though."
片側,katagawa,Noun,one side,この 道 は 片側 通行 です 。,この みち は かたがわ つうこう です。,kono michi ha katagawa tsuukou desu.,This is a one way street.
横顔,yokogao,Noun,"profile, side face",彼女 の 横顔 は 素敵 だ 。,かのじょ の よこがお は すてき だ。,kanojo no yokogao ha suteki da.,She has a lovely profile.
取り消し,torikeshi,Verbal Noun,"cancellation, revocation",彼 は 免許 取り消し の 処分 を 受けた よ 。,かれ は めんきょ とりけし の しょぶん を うけた よ。,kare ha menkyo torikeshi no shobun wo uketa yo.,"As a penalty, his driver's license was revoked."
後ろ向き,ushiromuki,Noun,facing backward,彼 は 車 を 後ろ向き に 駐車 した の。,かれ は くるま を うしろむき に ちゅうしゃ した の。,kare ha kuruma wo ushiromuki ni chuusha shita no.,He parked the car backward.
山登り,yamanobori,Verbal Noun,(light or easy) mountain climbing,明日 は 友達 と 山登り に 行きます 。,あした は ともだち と やまのぼり に いきます。,ashita ha tomodachi to yamanobori ni ikimasu.,I'm going mountain climbing with my friend tomorrow.
三流,sanryuu,Noun,third-rate,彼 は 三流 大学 を 出た が、今 は 社長 だ よ。,かれ は さんりゅう だいがく を でた が、いま は しゃちょう だ よ。,"kare ha sanryuu daigaku wo deta ga,ima ha shachou da yo.",He went to a third-rate college but is now a company president.
爪切り,tsumekiri,Noun,"nail clipper, clipping nails",爪切り を 取って ください。,つめきり を とって ください。,tsumekiri wo totte kudasai.,Could you pass me the nail clipper?
せっかち,sekkachi,Adjectival Noun,"impatient, hasty",彼 は せっかち で 困ります 。,かれ は せっかち で こまります。,kare ha sekkachi de komarimasu.,His impatience troubles me.
値下がり,nesagari,Verbal Noun,fall in price,ガソリン が 値下がり しました 。,がそりん が ねさがり しました。,gasorin ga nesagari shimashita.,The price of gasoline has gone down.
安売り,yasuuri,Verbal Noun,"sale, bargain",あの 店 で 野菜 の 安売り を して いました よ。,あの みせ で やさい の やすうり を して いました よ。,ano mise de yasai no yasuuri wo shite imashita yo.,They were selling bargain-priced vegetables in that store.
乗り越す,norikosu,Verb,miss one's station,居眠り して 降りる 駅 を 乗り越した。,いねむり して おりる えき を のりこした。,inemuri shite oriru eki wo norikoshita.,I dozed off and missed my station.
寄り道,yorimichi,Verbal Noun,"stopping by, going out of the way",今日 は 寄り道 して から 帰ります 。,きょう は よりみち して から かえります。,kyou ha yorimichi shite kara kaerimasu.,I'll stop by somewhere on the way home today.
値切る,negiru,Verb,"ask for a discount, haggle for bargains",彼 は 値切る の が 上手 です 。,かれ は ねぎる の が じょうず です。,kare ha negiru no ga jouzu desu.,He's good at haggling for bargains.
長持ち,nagamochi,Verbal Noun,"endurance, lasting long",この コート は 長持ち して いる。,この こーと は ながもち して いる。,kono ko-to ha nagamochi shite iru.,I've had this coat for a long time.
不注意,fuchuui,Adjectival Noun,careless,その 事故 は 運転手 の 不注意 が 原因 で 起きた の。,その じこ は うんてんしゅ の ふちゅうい が げんいん で おきた の。,sono jiko ha untenshu no fuchuui ga genin de okita no.,Careless driving was the cause of the accident.
いじめ,ijime,Noun,bullying,学校 で の いじめ は なかなか 減らない。,がっこう で の いじめ は なかなか へらない。,gakkou de no ijime ha nakanaka heranai.,Bullying in schools is hard to decrease.
食費,shokuhi,Noun,food expenses,男の子 が 3 人 も いる ので 食費 が かさみます 。,おとこのこ が 3 にん も いる ので しょくひ が かさみます。,otokonoko ga 3 nin mo iru node shokuhi ga kasamimasu.,"We have three boys, so our food expenses are high."
歩行者,hokousha,Noun,pedestrian,歩行 者 は 道 の 右 側 を 歩いて ください。,ほこう しゃ は みち の みぎ がわ を あるいて ください。,hokou sha ha michi no migi gawa wo aruite kudasai.,Pedestrians must walk on the right side of the road.
物覚え,monooboe,Noun,"memory, learning things",彼女 は 物覚え が いい 。,かのじょ は ものおぼえ が いい。,kanojo ha monooboe ga ii.,She's a quick learner.
飲料水,inryousui,Noun,drinking water (formal),被災 地 で は 飲料水 が 不足 して いる の 。,ひさい ち で は いんりょうすい が ふそく して いる の。,hisai chi de ha inryousui ga fusoku shite iru no.,Drinking water is lacking in the disaster area.
外れ,hazure,Noun,"blank, losing",この くじ は 外れ です 。,この くじ は はずれ です。,kono kuji ha hazure desu.,This is a losing ticket.
ばら色,barairo,Noun,"rose color, rosy",彼女 の 人生 は ばら色 だった の 。,かのじょ の じんせい は ばらいろ だった の。,kanojo no jinsei ha barairo datta no.,Her life was rosy.
精算,seisan,Verbal Noun,"settlement of accounts, adjustment",降りる 駅 で 料金 を 精算 して ください 。,おりる えき で りょうきん を せいさん して ください。,oriru eki de ryoukin wo seisan shite kudasai.,Please adjust the fare when you get off at the station.
心細い,kokorobosoi,Adjective,"uneasy, lonely",夜道 の 一人 歩き は 心細い ね。,よみち の ひとり あるき は こころぼそい ね。,yomichi no hitori aruki ha kokorobosoi ne.,Walking alone at night makes one feel uneasy.
裏返し,uragaeshi,Noun,inside out,シャツ を 裏返し に 着て いる よ。,しゃつ を うらがえし に きて いる よ。,shatsu wo uragaeshi ni kite iru yo.,Your shirt is inside out.
夜更かし,yofukashi,Verbal Noun,staying up late at night,最近 の 子供 たち は 夜更かし です 。,さいきん の こども たち は よふかし です。,saikin no kodomo tachi ha yofukashi desu.,Children these days stay up late at night.
いやらしい,iyarashii,Adjective,"lewd, nasty",彼 は いやらしい 男 ね 。,かれ は いやらしい おとこ ね。,kare ha iyarashii otoko ne.,He's a nasty man.
勤め先,tsutomesaki,Noun,workplace,私 の 勤め先 に ご連絡 ください。,わたし の つとめさき に ごれんらく ください。,watashi no tsutomesaki ni gorenraku kudasai.,Please contact my office.
無口,mukuchi,Adjectival Noun,"reticent, quiet",彼女 は 無口な 人 です ね 。,かのじょ は むくちな ひと です ね。,kanojo ha mukuchina hito desu ne.,She's a quiet person.
勝手,katte,Adjectival Noun,"selfish, self-centered",勝手な こと ばかり 言わない で くれ。,かってな こと ばかり いわない で くれ。,kattena koto bakari iwanai de kure.,Please don't say such selfish things.
何と,nanto,Adverb,"what, how, surprisingly",何と 彼ら は 結婚 した そうです 。,なんと かれら は けっこん した そうです。,nanto karera ha kekkon shita soudesu.,"Surprisingly, they got married."
連休,renkyuu,Noun,consecutive holidays,今度 の 連休 は 実家 に 帰ります 。,こんど の れんきゅう は じっか に かえります。,kondo no renkyuu ha jikka ni kaerimasu.,I'll go back to my parents' house for the next consecutive holidays.
手軽,tegaru,Adjectival Noun,"simple and convenient, easy-to-do",手軽 に 作れる 料理 を 教えて ください 。,てがる に つくれる りょうり を おしえて ください。,tegaru ni tsukureru ryouri wo oshiete kudasai.,Please teach me some easy-to-prepare dishes.
いやいや,iyaiya,Adverb,"reluctantly, grudgingly",その 子 は いやいや 学校 へ 行った の 。,その こ は いやいや がっこう へ いった の。,sono ko ha iyaiya gakkou he itta no.,The child went to school grudgingly.
つくづく,tsukuzuku,Adverb,"truly, deeply",来て よかった と つくづく 思います。,きて よかった と つくづく おもいます。,kite yokatta to tsukuzuku omoimasu.,I'm truly glad that I came here.
賭ける,kakeru,Verb,"bet, stake",彼 は 新しい 仕事 に 人生 を 賭けて いる。,かれ は あたらしい しごと に じんせい を かけて いる。,kare ha atarashii shigoto ni jinsei wo kakete iru.,He stakes his fate on the new job.
引きずる,hikizuru,Verb,"drag along, dwell on",彼 は まだ 失恋 を 引きずって います。,かれ は まだ しつれん を ひきずって います。,kare ha mada shitsuren wo hikizutte imasu.,He's still dwelling on the breakup.
異性,isei,Noun,opposite sex,息子 は もう 異性 を 意識 して いる 。,むすこ は もう いせい を いしき して いる。,musuko ha mou isei wo ishiki shite iru.,My son is already conscious about people of the opposite sex.
差し出す,sashidasu,Verb,"stretch out, hold out",彼 は 握手 を しよう と 手 を 差し出した の。,かれ は あくしゅ を しよう と て を さしだした の。,kare ha akushu wo shiyou to te wo sashidashita no.,He held out his hand to shake hands.
脅かす,odokasu,Verb,"threaten, scare",脅かさない で よ 。,おどかさない で よ。,odokasanai de yo.,Don't threaten me.
脅かす,odokasu,Verb,"threaten, scare",子供 が 急 に 大きな 声 を 出して 、 私 を 脅かしました 。,こども が きゅう に おおきな こえ を だして、わたし を おどかしました。,"kodomo ga kyuu ni ookina koe wo dashite,watashi wo odokashimashita.",My child suddenly screamed and scared me.
逃げ出す,nigedasu,Verb,"run away, escape",トラ が おり から 逃げ出しました 。,とら が おり から にげだしました。,tora ga ori kara nigedashimashita.,A tiger escaped from the cage.
見習う,minarau,Verb,"learn, follow someone's example",彼 を 見習って もっと 勉強 します。,かれ を みならって もっと べんきょう します。,kare wo minaratte motto benkyou shimasu.,I'll follow his example and study harder.
ごまかす,gomakasu,Verb,"deceive, gloss over",彼 は 質問 の 答え を ごまかした ね 。,かれ は しつもん の こたえ を ごまかした ね。,kare ha shitsumon no kotae wo gomakashita ne.,He glossed over the answer to the question.
日焼け,hiyake,Verbal Noun,suntan,海 で 日焼け した ん だ。,うみ で ひやけ した ん だ。,umi de hiyake shita n da.,I got suntanned at the beach.
相応しい,fusawashii,Adjective,"suitable, appropriate",その 場 に 相応しい 服装 で 来て ください 。,その ば に ふさわしい ふくそう で きて ください。,sono ba ni fusawashii fukusou de kite kudasai.,Please make sure to dress appropriately for the occasion.
飲み込む,nomikomu,Verb,"swallow, gulp down",彼 は 薬 を 一気 に 飲み込んだ 。,かれ は くすり を いっき に のみこんだ。,kare ha kusuri wo ikki ni nomikonda.,He swallowed all the medicine in one go.
見落とす,miotosu,Verb,"miss, fail to notice",間違い を 見落とした の 。,まちがい を みおとした の。,machigai wo miotoshita no.,I failed to notice a mistake.
前もって,maemotte,Adverb,in advance,休む とき は 前もって 連絡 を ください 。,やすむ とき は まえもって れんらく を ください 。,yasumu toki ha maemotte renraku wo kudasai .,"If you're going to take a day off, please let me know in advance."
打ち明ける,uchiakeru,Verb,"confess, tell something on one's mind",親友 に 悩み を 打ち明けた の 。,しんゆう に なやみ を うちあけた の。,shin'yuu ni nayami wo uchiaketa no.,I told my concerns to my best friend.
騒々しい,souzoushii,Adjective,"noisy, rowdy",隣 の 家 は いつも 騒々しい 。,となり の いえ は いつも そうぞうしい。,tonari no ie ha itsumo souzoushii.,The house next door is always noisy.
設立,setsuritsu,Verbal Noun,"establishment (of a facility, public organization, etc.)",当社 は 10 年 前 に 設立 された の よ 。,とうしゃ は 10 ねん まえ に せつりつ された の よ。,tousha ha 10 nen mae ni setsuritsu sareta no yo.,Our company was established ten years ago.
協議,kyougi,Verbal Noun,"discussion, deliberation",委員会 は その 問題 について 協議 しました。,いいんかい は その もんだい について きょうぎ しました。,iinkai ha sono mondai nitsuite kyougi shimashita.,The committee discussed the issue.
達成,tassei,Verbal Noun,"attainment, achievement",彼 は 今月 の 売上 目標 を 達成 した 。,かれ は こんげつ の うりあげ もくひょう を たっせい した。,kare ha kongetsu no uriage mokuhyou wo tassei shita.,He achieved the sales target of this month.
運営,unei,Verbal Noun,"operation, management (of an organization, business, etc.)",その 事業 は 国 が 運営 して います。,その じぎょう は くに が うんえい して います。,sono jigyou ha kuni ga unei shite imasu.,The project is operated by the government.
心,kokoro,Noun,"heart, mind",彼 は 素直な 心 を 持って いる。,かれ は すなおな こころ を もって いる。,kare ha sunaona kokoro wo motte iru.,He has a good heart.
市,shi,Noun,city (municipality),その 市 の 人口 は 減り 続けて いる の 。,その し の じんこう は へり つづけて いる の。,sono shi no jinkou ha heri tsuzukete iru no.,The population of the city has been decreasing.
事業,jigyou,Noun,"business, enterprise",彼 は 事業 に 失敗 した の。,かれ は じぎょう に しっぱい した の。,kare ha jigyou ni shippai shita no.,His business failed.
固定,kotei,Verbal Noun,"fixing, stability",棒 を テープ で 固定 しなさい 。,ぼう を てーぷ で こてい しなさい。,bou wo te-pu de kotei shinasai.,Fix the stick in place with tape.
対応,taiou,Verbal Noun,"correspondence, response",彼 は いつも 素早い 対応 を する ね 。,かれ は いつも すばやい たいおう を する ね。,kare ha itsumo subayai taiou wo suru ne.,He always responds quickly.
指摘,shiteki,Verbal Noun,"pointing out, indication",ご指摘 いただき ありがとう ございます 。,ごしてき いただき ありがとう ございます。,goshiteki itadaki arigatou gozaimasu.,Thank you very much for pointing it out.
保険,hoken,Noun,insurance,あなた は 保険 に 加入 して います か 。,あなた は ほけん に かにゅう して います か。,anata ha hoken ni kanyuu shite imasu ka.,Do you have insurance?
行政,gyousei,Noun,administration,年金 問題 は 行政 の 最大 の 課題 の ひとつ よ 。,ねんきん もんだい は ぎょうせい の さいだい の かだい の ひとつ よ。,nenkin mondai ha gyousei no saidai no kadai no hitotsu yo.,The pension problem is one of the biggest issues of current administration.
行為,koui,Noun,"act, conduct",彼 の 行為 は みんな の 誤解 を 招いた わ 。,かれ の こうい は みんな の ごかい を まねいた わ。,kare no koui ha minna no gokai wo maneita wa.,His actions misled everyone.
自己,jiko,Noun,"oneself, own self",これから は 自己 の 判断 で 行動 して ください。,これから は じこ の はんだん で こうどう して ください。,korekara ha jiko no handan de koudou shite kudasai.,Please act on your own judgment from now on.
主,omo,Adjectival Noun,"main, chief",彼女 の 主な 仕事 は 接客 だ よ 。,かのじょ の おもな しごと は せっきゃく だ よ。,kanojo no omona shigoto ha sekkyaku da yo.,Her main job is customer service.
保護,hogo,Verbal Noun,"protection, safeguard",みんな で 環境 を 保護 しましょう 。,みんな で かんきょう を ほご しましょう。,minna de kankyou wo hogo shimashou.,Let's protect the environment together.
認識,ninshiki,Verbal Noun,"recognition, acknowledgment",その 件 は 終わった と 認識 して います。,その けん は おわった と にんしき して います。,sono ken ha owatta to ninshiki shite imasu.,"As far as I know, I believe that the matter is over."
区,ku,Noun,"ward, district",東京 に は 23 の 区 が ある。,とうきょう に は 23 の く が ある。,toukyou ni ha 23 no ku ga aru.,There are 23 wards in Tokyo.
土,tsuchi,Noun,"soil, ground",土 を 掘って 木 を 植えました 。,つち を ほって き を うえました。,tsuchi wo hotte ki wo uemashita.,I dug up the soil and planted a tree.
報道,houdou,Verbal Noun,"news, report",夜中 も テレビ で 台風 の 報道 を して いた。,よなか も てれび で たいふう の ほうどう を して いた。,yonaka mo terebi de taifuu no houdou wo shite ita.,The typhoon was reported on TV even really late at night.
むしろ,mushiro,Adverb,rather,彼 は 建築 家 と いう より むしろ 芸術 家 ね。,かれ は けんちく か と いう より むしろ げいじゅつ か ね。,kare ha kenchiku ka to iu yori mushiro geijutsu ka ne.,He's an artist rather than an architect.
光,hikari,Noun,"light, ray",一筋 の 光 が 窓 から 差し込んだ の 。,ひとすじ の ひかり が まど から さしこんだ の。,hitosuji no hikari ga mado kara sashikonda no.,A beam of light shone through the window.
種,tane,Noun,seed,プランター に トマト の 種 を まきました。,ぷらんたー に とまと の たね を まきました。,puranta- ni tomato no tane wo makimashita.,I planted tomato seeds in the planter.
値,atai,Noun,numerical value,x の 値 を 求めなさい 。,x の あたい を もとめなさい。,x no atai wo motomenasai.,Find the value of x.
規定,kitei,Verbal Noun,"provision, regulation",代金 に は 規定 の 手数料 が 含まれます。,だいきん に は きてい の てすうりょう が ふくまれます。,daikin ni ha kitei no tesuuryou ga fukumaremasu.,The price includes a provisioned handling fee.
理論,riron,Noun,theory,彼 は 大学 で 音楽 の 理論 を 勉強 した ん だ よ。,かれ は だいがく で おんがく の りろん を べんきょう した ん だ よ。,kare ha daigaku de ongaku no riron wo benkyou shita n da yo.,He studied music theory in college.
対,tsui,Noun,pair,この ズボン は 上着 と 対 に なって います。,この ずぼん は うわぎ と つい に なって います。,kono zubon ha uwagi to tsui ni natte imasu.,These trousers and this jacket are a pair.
措置,sochi,Verbal Noun,"measure, step",被災 者 を 救う ため の 特別な 措置 が 取られました。,ひさい しゃ を すくう ため の とくべつな そち が とられました。,hisai sha wo sukuu tame no tokubetsuna sochi ga toraremashita.,Special measures have been taken to help the disaster vicitims.
推進,suishin,Verbal Noun,promotion,その 会社 は リサイクル を 推進 してる ね 。,その かいしゃ は りさいくる を すいしん してる ね。,sono kaisha ha risaikuru wo suishin shiteru ne.,The company is promoting recycling.
確保,kakuho,Verbal Noun,securement,優れた 人材 の 確保 は 重要 です 。,すぐれた じんざい の かくほ は じゅうよう です。,sugureta jinzai no kakuho ha juuyou desu.,Securing great talent is important.
世,yo,Noun,"world, public",やっと 私 の 作品 が 世 に 出た の 。,やっと わたし の さくひん が よ に でた の。,yatto watashi no sakuhin ga yo ni deta no.,My work was released to the public at last.
規制,kisei,Verbal Noun,"regulation, control",牛肉 の 輸入 が 厳しく 規制 されて いる わ ね。,ぎゅうにく の ゆにゅう が きびしく きせい されて いる わ ね。,gyuuniku no yunyuu ga kibishiku kisei sarete iru wa ne.,Beef imports are strictly regulated.
空間,kuukan,Noun,space,狭い 空間 に 物 が たくさん 置いて ある ね。,せまい くうかん に もの が たくさん おいて ある ね。,semai kuukan ni mono ga takusan oite aru ne.,There are a lot of things in this tiny space.
審議,shingi,Verbal Noun,"deliberation, consideration",その 問題 は 審議 中 です 。,その もんだい は しんぎ ちゅう です。,sono mondai ha shingi chuu desu.,The issue is under deliberation.
設置,secchi,Verbal Noun,"installation, set up",お店 に 防犯 カメラ が 設置 された わ ね。,おみせ に ぼうはん かめら が せっち された わ ね。,omise ni bouhan kamera ga secchi sareta wa ne.,A security camera has been installed in the shop.
雇用,koyou,Verbal Noun,"employment, hiring",彼 は その 会社 と 雇用 契約 を 結んだ の 。,かれ は その かいしゃ と こよう けいやく を むすんだ の。,kare ha sono kaisha to koyou keiyaku wo musunda no.,He signed an employment contract with the company.
反応,hannou,Verbal Noun,"reaction, response",彼女 は 良い 反応 を 示した わ 。,かのじょ は よい はんのう を しめした わ。,kanojo ha yoi hannou wo shimeshita wa.,She reacted well.
脳,nou,Noun,brain,砂糖 は 脳 の 栄養 に なる の 。,さとう は のう の えいよう に なる の。,satou ha nou no eiyou ni naru no.,Sugar is nourishment for the brain.
運用,un'you,Verbal Noun,"operation, management (of funds, assets, etc.)",会計士 に 資金 運用 について 相談 した よ。,かいけいし に しきん うんよう について そうだん した よ。,kaikeishi ni shikin un'you nitsuite soudan shita yo.,I consulted an accountant about how to manage my assets.
株式,kabushiki,Noun,stock,彼 は 株式 の 売買 で 多額 の 利益 を 得た の さ 。,かれ は かぶしき の ばいばい で たがく の りえき を えた の さ。,kare ha kabushiki no baibai de tagaku no rieki wo eta no sa.,He made a large profit by buying and selling stocks.
向上,koujou,Verbal Noun,"improvement, progress",全員 で 技術 の 向上 に 努めて います。,ぜんいん で ぎじゅつ の こうじょう に つとめて います。,zenin de gijutsu no koujou ni tsutomete imasu.,We all work together to improve our skills.
取材,shuzai,Verbal Noun,"collection of data, reporting",テレビ も 取材 に 来た ほど 有名な レストラン です 。,てれび も しゅざい に きた ほど ゆうめいな れすとらん です。,terebi mo shuzai ni kita hodo yuumeina resutoran desu.,The restaurant is so famous that even a TV crew came for reporting.
保障,hoshou,Verbal Noun,"guarantee, security",私 が あなた の 安全 を 保障 します 。,わたし が あなた の あんぜん を ほしょう します。,watashi ga anata no anzen wo hoshou shimasu.,I guarantee your safety.
問う,tou,Verb,"ask, question",応募 者 の 年齢 は 問いません。,おうぼ しゃ の ねんれい は といません。,oubo sha no nenrei ha toimasen.,Applicants of all ages are accepted.
原則,gensoku,Noun,"principle, general rule",原則 と して キャンセル できません 。,げんそく と して きゃんせる できません。,gensoku to shite kyanseru dekimasen.,"As a general rule, we don't accept cancellation."
部門,bumon,Noun,"division, category",あの 歌手 は 3 部門 で 賞 を 取った の 。,あの かしゅ は 3 ぶもん で しょう を とった の。,ano kashu ha 3 bumon de shou wo totta no.,That singer won prizes in three categories.
出演,shutsuen,Verbal Noun,"appearance (on stage, TV etc.)",彼女 は その 映画 に 出演 して いる よ。,かのじょ は その えいが に しゅつえん して いる よ。,kanojo ha sono eiga ni shutsuen shite iru yo.,She's in the movie.
民族,minzoku,Noun,"race, ethnic group",私 は 民族 の 歴史 に 興味 が あります 。,わたし は みんぞく の れきし に きょうみ が あります。,watashi ha minzoku no rekishi ni kyoumi ga arimasu.,I'm interested in the history of ethnic groups.
革命,kakumei,Noun,revolution,それ は 歴史 上 の 大きな 革命 です 。,それ は れきし じょう の おおきな かくめい です。,sore ha rekishi jou no ookina kakumei desu.,That is a major revolution in history.
図る,hakaru,Verb,"strive for, work to",これから は 経営 の 合理化 を 図りたい と 思います。,これから は けいえい の ごうりか を はかりたい と おもいます。,korekara ha keiei no gourika wo hakaritai to omoimasu.,From now on we'll work to streamline management.
実,mi,Noun,"fruit (of a plant), nut",庭 の 木 が 赤い 実 を つけた 。,にわ の き が あかい み を つけた。,niwa no ki ga akai mi wo tsuketa.,The tree in the garden bore some red fruit.
いかに,ikani,Adverb,"how, in what way",彼 に 会えば 、 彼 が いかに 良い 人 か 分かります 。,かれ に あえば、かれ が いかに いい ひと か わかります。,"kare ni aeba,kare ga ikani ii hito ka wakarimasu.","Once you meet him, you'll realize how nice he is."
避ける,sakeru,Verb,"avoid, evade",彼女 は 昨日 から 私 の こと を 避けて いる ようなんだ 。,かのじょ は きのう から わたし の こと を さけて いる ようなんだ。,kanojo ha kinou kara watashi no koto wo sakete iru younanda.,She seems to have been avoiding me since yesterday.
福祉,fukushi,Noun,welfare,姉 は 福祉 の 勉強 を して います。,あね は ふくし の べんきょう を して います。,ane ha fukushi no benkyou wo shite imasu.,My big sister is studying social welfare.
定める,sadameru,Verb,"determine, establish",税 に 関する 新しい 法律 が 定められた ぞ。,ぜい に かんする あたらしい ほうりつ が さだめられた ぞ。,zei ni kansuru atarashii houritsu ga sadamerareta zo.,A new law on tax policies has been established.
器,utsuwa,Noun,dish,この 器 は 上等 ね 。,この うつわ は じょうとう ね。,kono utsuwa ha joutou ne.,This dish is high quality.
概念,gainen,Noun,"general idea, concept",インターネット は 情報 の 概念 を 変えた よ ね 。,いんたーねっと は じょうほう の がいねん を かえた よ ね。,inta-netto ha jouhou no gainen wo kaeta yo ne.,The Internet has changed the concept of information.
果たす,hatasu,Verb,"accomplish, fulfill (purpose, responsibility, etc.)",彼 は しっかり と 責任 を 果たしました。,かれ は しっかり と せきにん を はたしました。,kare ha shikkari to sekinin wo hatashimashita.,He fulfilled his responsibility.
判決,hanketsu,Noun,"judicial decision, judgment",判決 が 下された 。,はんけつ が くだされた。,hanketsu ga kudasareta.,Judgment has been made.
もたらす,motarasu,Verb,"bring about, lead to",彼 は この 国 に 平和 を もたらした の よ 。,かれ は この くに に へいわ を もたらした の よ。,kare ha kono kuni ni heiwa wo motarashita no yo.,He brought peace to this country.
再生,saisei,Verbal Noun,playback,留守番 電話 の メッセージ を 再生 した の 。,るすばん でんわ の めっせーじ を さいせい した の。,rusuban denwa no messe-ji wo saisei shita no.,I played back the messages on the answering machine.
破壊,hakai,Verbal Noun,"breaking, destruction",自然 の 破壊 が 進んで いる の よ。,しぜん の はかい が すすんで いる の よ。,shizen no hakai ga susunde iru no yo.,The destruction of nature is becoming widespread.
受け入れる,ukeireru,Verb,"accept, accommodate",私 は 彼 の 意見 を 受け入れました 。,わたし は かれ の いけん を うけいれました。,watashi ha kare no iken wo ukeiremashita.,I accepted his opinion.
派遣,haken,Verbal Noun,"dispatch, sending",彼 は イギリス に 派遣 されました 。,かれ は いぎりす に はけん されました。,kare ha igirisu ni haken saremashita.,He was sent to England.
定義,teigi,Verbal Noun,definition,美しさ を 定義 して ください。,うつくしさ を ていぎ して ください。,utsukushisa wo teigi shite kudasai.,Please define beauty.
形成,keisei,Verbal Noun,formation,今 は 骨 が 形成 される 大切な 時期 です 。,いま は ほね が けいせい される たいせつな じき です。,ima ha hone ga keisei sareru taisetsuna jiki desu.,You're in the important stage of life when bones are being formed.
記述,kijutsu,Verbal Noun,description,日本 の 古い 料理 法 について の 記述 を 読んだ ん だ 。,にほん の ふるい りょうり ほう について の きじゅつ を よんだ ん だ。,nihon no furui ryouri hou nitsuite no kijutsu wo yonda n da.,I read a description of old Japanese cooking methods.
軍事,gunji,Noun,military affairs,彼 は 軍事 に 関わる 仕事 を 続けて きた ん だ 。,かれ は ぐんじ に かかわる しごと を つづけて きた ん だ。,kare ha gunji ni kakawaru shigoto wo tsuzukete kita n da.,He's been working a military related job.
不明,fumei,Adjectival Noun,"unknown, unclear, unidentified",その 病気 は 原因 不明 と 言われて いる ん だ よ 。,その びょうき は げんいん ふめい と いわれて いる ん だ よ。,sono byouki ha genin fumei to iwarete iru n da yo.,The cause of the disease is said to be unidentified.
内閣,naikaku,Noun,cabinet,新しい 内閣 が 誕生 した ね。,あたらしい ないかく が たんじょう した ね。,atarashii naikaku ga tanjou shita ne.,A new Cabinet has been formed.
挑戦,chousen,Verbal Noun,challenge,彼 は 新しい こと に 挑戦 して いる。,かれ は あたらしい こと に ちょうせん して いる。,kare ha atarashii koto ni chousen shite iru.,He's taking on a new challenge.
国連,kokuren,Noun,United Nations,国連 の 本部 は ニューヨーク に あります 。,こくれん の ほんぶ は にゅーよーく に あります。,kokuren no honbu ha nyu-yo-ku ni arimasu.,The U.N. headquarters is in New York.
実態,jittai,Noun,"(actual) state, reality",その 会社 の 経営 の 実態 を 調査 中 だ 。,その かいしゃ の けいえい の じったい を ちょうさ ちゅう だ。,sono kaisha no keiei no jittai wo chousa chuu da.,The state of the company management is under investigation.
獲得,kakutoku,Verbal Noun,"acquisition, earning",その 選手 の 獲得 賞金 は 2 億 円 だって 。,その せんしゅ の かくとく しょうきん は 2 おく えん だって。,sono senshu no kakutoku shoukin ha 2 oku en datte.,I heard that the player's career earnings are 200 million yen.
論理,ronri,Noun,logic,数学 は 論理 に 基づく 学問 です 。,すうがく は ろんり に もとづく がくもん です。,suugaku ha ronri ni motozuku gakumon desu.,Mathematics is a field of study based on logic.
極めて,kiwamete,Adverb,"extremely, very",これ は 極めて 重要な 問題 です 。,これ は きわめて じゅうような もんだい です。,kore ha kiwamete juuyouna mondai desu.,This is an extremely important issue.
本質,honshitsu,Noun,"essence, real nature",彼 は 仕事 の 本質 を よく 理解 して いる わ ね 。,かれ は しごと の ほんしつ を よく りかい して いる わ ね。,kare ha shigoto no honshitsu wo yoku rikai shite iru wa ne.,He understands the essence of work well.
及ぶ,oyobu,Verb,"reach, come up to",あなた に まで 迷惑 が 及んで ごめんなさい 。,あなた に まで めいわく が およんで ごめんなさい。,anata ni made meiwaku ga oyonde gomennasai.,I'm sorry that it even caused you trouble.
